code_module,code_presentation,prediction_week,cutoff_day,module_presentation_length,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,registration_day,registered_after_start,registration_lead_days,late_registration_days,assessment_due_count,assessment_due_weight,assessment_submitted_due_count,assessment_late_count,assessment_missing_due_count,assessment_submission_rate,assessment_mean_score,vle_cum_total_clicks,vle_cum_interaction_rows,vle_last_active_day,vle_cum_active_days,vle_cum_unique_sites,vle_week_clicks_dataplus,vle_week_clicks_dualpane,vle_week_clicks_externalquiz,vle_week_clicks_folder,vle_week_clicks_forumng,vle_week_clicks_glossary,vle_week_clicks_homepage,vle_week_clicks_htmlactivity,vle_week_clicks_oucollaborate,vle_week_clicks_oucontent,vle_week_clicks_ouelluminate,vle_week_clicks_ouwiki,vle_week_clicks_page,vle_week_clicks_questionnaire,vle_week_clicks_quiz,vle_week_clicks_repeatactivity,vle_week_clicks_resource,vle_week_clicks_sharedsubpage,vle_week_clicks_subpage,vle_week_clicks_url,vle_has_record,imd_band_missing,date_registration_missing,current_total_clicks,current_interaction_rows,current_last_active_day,current_active_days,current_unique_sites,current_activity_type_count,current_forumng_clicks,current_oucontent_clicks,current_quiz_clicks,current_resource_clicks,pre_course_clicks,pre_course_interaction_rows,current_has_vle_record,observed_weeks,active_weeks,inactive_weeks,active_week_rate,cum_unique_site_week_count,cum_activity_type_week_count,cum_avg_clicks_per_active_day,cum_avg_clicks_per_site_week,previous_total_clicks,previous_active_days,previous_unique_sites,last_active_week,weeks_since_last_activity,current_no_activity,click_change,click_change_rate,active_days_change,unique_sites_change,cum_forumng_clicks,cum_forumng_share,cum_quiz_clicks,cum_quiz_share,cum_oucontent_clicks,cum_oucontent_share,cum_resource_clicks,cum_resource_share,current_other_clicks,cum_other_clicks,cum_other_share,log1p_cum_total_clicks,log1p_current_total_clicks,log1p_pre_course_clicks,assessment_due_cma_count,assessment_due_exam_count,assessment_due_tma_count,assessment_scored_due_count,assessment_missing_score_count,assessment_banked_due_count,assessment_nonbanked_submitted_count,weighted_score_sum,scored_weight_sum,assessment_submitted_cma_count,assessment_submitted_tma_count,assessment_submitted_exam_count,assessment_median_score,assessment_min_score,assessment_max_score,assessment_median_submission_gap,assessment_mean_submission_gap,assessment_missing_due_rate,assessment_late_rate,assessment_weighted_mean_score,any_known_submission_count,any_known_scored_count,any_known_score_missing_count,any_known_banked_count,any_known_mean_score,any_known_median_score
AAA,2013J,1,6.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,62.0,18.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,62.0,18.0,5.0,3.0,10.0,5.0,10.0,21.0,0.0,0.0,89.0,23.0,1.0,1.0,1.0,0.0,1.0,10.0,5.0,20.75,6.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,3.0,10.0,10.0,0.1724137931034483,0.0,0.0,21.0,0.3414634146341463,0.0,0.0,19.0,19.0,0.3,4.143134726391533,4.143134726391533,4.499809670330265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,
AAA,2013J,2,13.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,150.5,40.5,12.0,7.0,16.0,0.0,0.0,0.0,0.0,25.5,0.0,29.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,9.0,2.0,1.0,0.0,0.0,71.0,19.5,12.0,4.0,10.0,5.0,10.5,29.5,0.0,0.0,88.0,23.0,1.0,2.0,2.0,0.0,1.0,20.0,9.0,23.11309523809524,6.973684210526316,62.0,3.0,10.0,2.0,0.0,0.0,3.5,0.0,0.0,0.0,25.5,0.1924105306458247,0.0,0.0,57.0,0.4151295564339042,0.5,0.0006353240152477,21.0,42.0,0.3093073593073593,5.020580178830601,4.276666119016055,4.48863636973214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,
AAA,2013J,3,20.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,72.0,243.0,66.0,19.0,11.0,20.0,0.0,0.0,0.0,0.0,45.0,0.0,47.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,4.0,1.0,0.0,0.0,91.0,24.0,19.0,4.0,12.0,5.0,14.0,41.0,0.0,0.0,88.0,23.0,1.0,3.0,3.0,0.0,1.0,32.0,14.0,24.83333333333333,7.782608695652174,71.0,4.0,10.0,3.0,0.0,0.0,17.0,0.0,0.0,2.0,45.0,0.1942257217847769,0.0,0.0,103.0,0.4513888888888889,1.0,0.0043383947939262,27.0,75.0,0.3023255813953488,5.497168225293202,4.5217885770490405,4.48863636973214,0.0,0.0,1.0,1.0,0.0,0.0,1.0,680.0,10.0,0.0,1.0,0.0,72.0,72.0,72.0,-1.0,-1.0,0.0,0.0,72.0,1.0,1.0,0.0,0.0,72.0,72.0
AAA,2013J,4,27.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,72.0,296.0,78.0,26.0,14.0,23.0,0.0,0.0,0.0,0.0,50.0,0.0,58.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,5.0,1.0,0.0,0.0,37.0,11.0,26.0,3.0,6.0,4.0,2.0,15.0,0.0,0.0,85.0,23.0,1.0,4.0,4.0,0.0,1.0,38.0,17.0,23.352941176470587,7.634146341463414,91.0,4.0,12.0,4.0,0.0,0.0,-41.0,-0.593939393939394,-1.0,-5.0,50.0,0.189873417721519,0.0,0.0,125.0,0.4607046070460704,1.0,0.0044247787610619,12.0,87.0,0.3057644110275689,5.6937321388027,3.6375861597263857,4.454347296253507,0.0,0.0,1.0,1.0,0.0,0.0,1.0,710.0,10.0,0.0,1.0,0.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,72.0,1.0,1.0,0.0,0.0,72.0,72.0
AAA,2013J,5,34.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,72.0,329.0,89.0,33.0,17.0,25.0,0.0,0.0,0.0,0.0,55.5,0.0,68.5,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.5,6.0,1.0,0.0,0.0,36.0,12.0,33.0,3.0,6.0,4.0,2.0,16.0,0.0,0.0,86.5,23.0,1.0,5.0,5.0,0.0,1.0,45.0,21.0,21.647727272727277,7.471717171717172,37.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.1864156052552402,0.0,0.0,148.0,0.4651925313347977,2.0,0.0045581707764643,12.0,102.5,0.310832791151594,5.799092654460526,3.610917912644224,4.471491832992824,0.0,0.0,1.0,1.0,0.0,0.0,1.0,710.0,10.0,0.0,1.0,0.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,72.0,1.0,1.0,0.0,0.0,72.0,72.0
AAA,2013J,6,41.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,72.0,375.5,100.0,40.0,19.0,27.0,0.0,0.0,0.0,0.0,63.0,0.0,78.5,0.0,0.0,169.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,7.0,1.0,0.0,0.0,33.0,11.0,40.0,3.0,6.0,4.0,1.0,15.0,0.0,0.0,86.5,23.0,1.0,6.0,6.0,0.0,1.0,51.0,24.0,20.88153846153846,7.3361833105335155,36.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.1903085177733064,0.0,0.0,169.5,0.4640040558810275,2.0,0.0045045045045045,10.0,115.0,0.3092168607538487,5.930917165418952,3.5263605246161616,4.471491832992824,0.0,0.0,1.0,1.0,0.0,0.0,1.0,710.0,10.0,0.0,1.0,0.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,72.0,1.0,1.0,0.0,0.0,72.0,72.0
AAA,2013J,7,48.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,72.0,421.0,109.0,47.0,22.0,29.0,0.0,0.0,0.0,0.0,68.0,0.0,85.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,8.0,1.0,0.0,0.0,32.0,11.0,47.0,2.0,7.0,4.0,3.0,11.0,0.0,0.0,85.0,23.0,1.0,7.0,7.0,0.0,1.0,58.0,27.0,20.294117647058822,7.148936170212766,33.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.185378590078329,0.0,0.0,189.0,0.46875,2.0,0.0043402777777777,11.0,126.0,0.3097112860892388,6.045005314036012,3.49650756146648,4.454347296253507,0.0,0.0,1.0,1.0,0.0,0.0,1.0,710.0,10.0,0.0,1.0,0.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,72.0,1.0,1.0,0.0,0.0,72.0,72.0
AAA,2013J,8,55.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,2.0,30.0,2.0,0.0,0.0,1.0,70.0,451.0,123.0,54.0,25.0,29.0,0.0,0.0,0.0,0.0,72.0,0.0,96.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,10.0,1.0,0.0,0.0,44.0,16.0,54.0,3.0,8.0,4.0,3.0,15.0,0.0,0.0,85.0,23.0,1.0,8.0,8.0,0.0,1.0,65.0,31.0,19.43243243243243,7.09375,31.0,2.0,7.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,72.0,0.1839080459770115,0.0,0.0,207.0,0.4615384615384615,2.0,0.00418410041841,17.0,143.0,0.3173652694610778,6.113682179832232,3.80666248977032,4.454347296253507,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1880.0,30.0,0.0,2.0,0.0,70.0,67.0,73.0,0.0,0.0,0.0,0.0,69.66666666666667,2.0,2.0,0.0,0.0,70.0,70.0
AAA,2013J,9,62.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,2.0,30.0,2.0,0.0,0.0,1.0,70.0,479.0,134.0,61.0,27.0,34.0,0.0,0.0,0.0,0.0,77.0,0.0,101.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,11.0,1.0,0.0,0.0,17.0,7.0,61.0,2.0,4.0,3.0,0.0,4.0,0.0,0.0,85.0,22.0,1.0,9.0,9.0,0.0,1.0,70.0,34.0,19.0,7.0,44.0,3.0,8.0,9.0,0.0,0.0,-14.0,-0.4878048780487805,-1.0,-3.0,77.0,0.1826086956521739,0.0,0.0,223.0,0.4571428571428571,2.0,0.0040485829959514,7.0,150.0,0.321003963011889,6.173786103901937,2.8903717578961645,4.454347296253507,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2010.0,30.0,0.0,2.0,0.0,70.0,66.0,74.0,0.0,0.0,0.0,0.0,69.0,2.0,2.0,0.0,0.0,70.0,70.0
AAA,2013J,10,69.0,268.0,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,-64.0,-64.0,0.0,64.0,0.0,2.0,30.0,2.0,0.0,0.0,1.0,70.0,496.0,138.0,67.0,29.5,36.0,0.0,0.0,0.0,0.0,78.5,0.0,105.0,0.0,0.0,228.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,11.0,1.0,0.0,0.0,13.5,5.0,67.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,84.0,22.0,1.0,10.0,9.0,1.0,0.9,75.0,36.0,18.58058608058608,6.929347826086957,17.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,0.1812201892251153,0.0,0.0,228.5,0.4536947555909736,2.0,0.0041289571161262,5.0,159.5,0.3242967357711656,6.208581929160104,2.6735537653587342,4.44258204754841,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2040.0,30.0,0.0,2.0,0.0,70.0,66.0,74.0,0.0,0.0,0.0,0.0,69.33333333333333,2.0,2.0,0.0,0.0,70.0,70.0
