code_module,code_presentation,id_student,pre_course_clicks,pre_course_interaction_rows
AAA,2013J,11391,98,11
AAA,2013J,28400,215,55
AAA,2013J,30268,102,34
AAA,2013J,31604,169,38
AAA,2013J,32885,295,66
AAA,2013J,38053,277,56
AAA,2013J,45462,180,30
AAA,2013J,45642,21,10
AAA,2013J,52130,6,4
AAA,2013J,53025,176,42
AAA,2013J,57506,139,33
AAA,2013J,58873,159,19
AAA,2013J,59185,110,27
AAA,2013J,62155,251,54
AAA,2013J,63400,242,50
AAA,2013J,65002,3,1
AAA,2013J,70464,95,25
AAA,2013J,71361,204,56
AAA,2013J,74372,11,7
AAA,2013J,75091,458,64
AAA,2013J,77367,67,25
AAA,2013J,91265,76,20
AAA,2013J,94961,82,28
AAA,2013J,98094,477,63
AAA,2013J,100893,27,11
AAA,2013J,101781,302,60
AAA,2013J,102806,127,35
AAA,2013J,102952,31,9
AAA,2013J,104476,544,103
AAA,2013J,106577,149,37
AAA,2013J,110175,38,21
AAA,2013J,111717,252,41
AAA,2013J,113295,3,2
AAA,2013J,114017,28,13
AAA,2013J,114999,142,44
AAA,2013J,116692,325,51
AAA,2013J,118983,8,5
AAA,2013J,123044,3,2
AAA,2013J,127582,32,19
AAA,2013J,129955,32,14
AAA,2013J,132976,44,14
AAA,2013J,134143,174,37
AAA,2013J,135335,2,1
AAA,2013J,137873,241,46
AAA,2013J,141355,48,12
AAA,2013J,142326,142,22
AAA,2013J,144801,155,37
AAA,2013J,145130,38,18
AAA,2013J,146188,50,16
AAA,2013J,147756,89,23
AAA,2013J,147793,19,8
AAA,2013J,148993,257,51
AAA,2013J,155550,93,25
AAA,2013J,155854,294,49
AAA,2013J,155984,250,43
AAA,2013J,157568,64,17
AAA,2013J,159954,140,41
AAA,2013J,164259,6,4
AAA,2013J,167906,136,20
AAA,2013J,172112,49,26
AAA,2013J,172797,136,41
AAA,2013J,174782,338,69
AAA,2013J,175392,486,99
AAA,2013J,175932,284,47
AAA,2013J,175991,2,1
AAA,2013J,180753,113,27
AAA,2013J,181316,94,37
AAA,2013J,183096,256,50
AAA,2013J,183947,7,3
AAA,2013J,184271,98,41
AAA,2013J,185439,105,24
AAA,2013J,186149,449,115
AAA,2013J,187100,769,91
AAA,2013J,188278,80,24
AAA,2013J,189879,2,2
AAA,2013J,192183,148,40
AAA,2013J,195262,3,2
AAA,2013J,200860,43,20
AAA,2013J,202635,196,36
AAA,2013J,205350,249,64
AAA,2013J,205719,13,7
AAA,2013J,227499,356,67
AAA,2013J,227517,140,24
AAA,2013J,228082,8,5
AAA,2013J,229179,65,12
AAA,2013J,229361,29,6
AAA,2013J,231554,163,28
AAA,2013J,235507,52,16
AAA,2013J,238007,156,48
AAA,2013J,240712,12,5
AAA,2013J,240884,2,1
AAA,2013J,241649,288,53
AAA,2013J,241729,90,24
AAA,2013J,242793,52,21
AAA,2013J,246834,112,31
AAA,2013J,248270,251,44
AAA,2013J,255548,359,64
AAA,2013J,256815,125,26
AAA,2013J,258392,51,26
