threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
0.005,0.637084709023972,0.017651107856425933,0.8724520383693045,0.6353169363290568,0.034602158399538716,0.8439528729654308,0.09477537081883369,5821,323960,564373,851,329781,0.36846833257914763,0.5077689746983614
0.01,0.8075418573080597,0.026936065414526277,0.7065347721822542,0.8083004909195088,0.05189372464621668,0.8439528729654308,0.09477537081883369,4714,170293,718040,1958,175007,0.1955374550980162,0.5148352631017632
0.015,0.8774900698878777,0.03491260557337067,0.5792865707434053,0.8797297860149291,0.06585617284476515,0.8439528729654308,0.09477537081883369,3865,106840,781493,2807,110705,0.12369204641314853,0.4590163567583345
0.02,0.9153490762621438,0.042788887859496805,0.48456235011990406,0.918584584834741,0.07863405854382274,0.8439528729654308,0.09477537081883369,3233,72324,816009,3439,75557,0.08442075742593617,0.40314693495464504
0.025,0.9393813442383003,0.050281652867566445,0.3986810551558753,0.9434423802785668,0.0893007016483701,0.8439528729654308,0.09477537081883369,2660,50242,838091,4012,52902,0.05910804967570014,0.342123435434442
0.03,0.9553711990435808,0.05973269816064576,0.33827937649880097,0.9600059887452116,0.10153631599073262,0.8439528729654308,0.09477537081883369,2257,35528,852805,4415,37785,0.042217641242227696,0.2982853652440125
0.035,0.9664694610644633,0.07143381812839723,0.2915167865707434,0.9715388260933682,0.11474926253687316,0.8439528729654308,0.09477537081883369,1945,25283,863050,4727,27228,0.030422176412422276,0.2630556126641115
0.04,0.9740403684895615,0.08441232560473753,0.25209832134292565,0.9794626564587829,0.12647567486277164,0.8439528729654308,0.09477537081883369,1682,18244,870089,4990,19926,0.022263562773392327,0.23156097780170848
0.045,0.9792381048150569,0.10028191703584374,0.2239208633093525,0.9849110637564967,0.1385257301808067,0.8439528729654308,0.09477537081883369,1494,13404,874929,5178,14898,0.016645717063033166,0.2088319270658492
0.05,0.9826805436841135,0.11354285214041845,0.19439448441247004,0.988601121426312,0.14335451782260294,0.8439528729654308,0.09477537081883369,1297,10126,878207,5375,11423,0.012763057189624638,0.18299560583878205
0.055,0.9850693571544293,0.128071150639244,0.17266187050359713,0.9911711036289319,0.1470607008361524,0.8439528729654308,0.09477537081883369,1152,7843,880490,5520,8995,0.01005022318311071,0.16383297413252906
0.06,0.9868246546108681,0.14503605102606767,0.1567745803357314,0.9930589092153506,0.15067703831748777,0.8439528729654308,0.09477537081883369,1046,6166,882167,5626,7212,0.008058055541589153,0.149833489551082
0.065,0.9879687822973056,0.1608148393507784,0.14553357314148682,0.9942960578972074,0.15279307631785996,0.8439528729654308,0.09477537081883369,971,5067,883266,5701,6038,0.006746331026083653,0.13982963103869417
0.07,0.9888011798816766,0.17484960217349116,0.1350419664268585,0.9952135066467191,0.1523890063424947,0.8439528729654308,0.09477537081883369,901,4252,884081,5771,5153,0.005757509734582489,0.13025547307357765
0.075,0.9894022938419338,0.1884828349944629,0.12754796163069546,0.9958754205911522,0.15214087780459465,0.8439528729654308,0.09477537081883369,851,3664,884669,5821,4515,0.005044664554946621,0.12342338222184757
0.08,0.9898581572169988,0.20124223602484473,0.12140287769784172,0.996380861681374,0.15144433018603345,0.8439528729654308,0.09477537081883369,810,3215,885118,5862,4025,0.004497181579991173,0.1177837393792156
0.085,0.9901911162507472,0.21192234071643423,0.11615707434052758,0.9967557211090886,0.15006292961564527,0.8439528729654308,0.09477537081883369,775,2882,885451,5897,3657,0.004086010692677695,0.11291279544961608
0.09,0.990474913547969,0.22384500745156483,0.1125599520383693,0.997068666817511,0.14979555200957415,0.8439528729654308,0.09477537081883369,751,2604,885729,5921,3355,0.003748582410154133,0.10962861885588038
0.095,0.9907274261037647,0.23698674426123506,0.1098621103117506,0.9973433385903709,0.15012800819252434,0.8439528729654308,0.09477537081883369,733,2360,885973,5939,3093,0.003455846615382037,0.10720544890212147
0.1,0.9909497712303283,0.2496493688639551,0.10671462829736211,0.9975909934675398,0.14951700965980683,0.8439528729654308,0.09477537081883369,712,2140,886193,5960,2852,0.00318657437667946,0.10430562176490188
0.5,0.992585516282032,0.6153846153846154,0.014388489208633094,0.9999324577607721,0.0281195079086116,0.8439528729654308,0.09477537081883369,96,60,888273,6576,156,0.0001743007022307138,0.014320946969405224
