threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
0.05,0.9647725306721932,0.1327225745830397,0.3407720144752714,0.9724833890447816,0.191039729501268,0.8436386633832129,0.1588896895703199,1130,7384,260963,2186,8514,0.03134030029853164,0.313255403520053
0.1,0.9829163338400886,0.2575923893157702,0.21230398069963813,0.9924388944165576,0.23276574640436437,0.8436386633832129,0.1588896895703199,704,2029,266318,2612,2733,0.010060258482016322,0.2047428751161957
0.1100300614138347,0.9838844450661297,0.2785654712260217,0.2014475271411339,0.9935531233812936,0.23381169058452922,0.8436386633832129,0.1588896895703199,668,1730,266617,2648,2398,0.008827113003979195,0.19500065052242754
0.15,0.9857617710177683,0.3312958435207824,0.16344993968636912,0.9959231890052804,0.21890145395799676,0.8436386633832129,0.1588896895703199,542,1094,267253,2774,1636,0.006022167170354447,0.15937312869164955
0.2,0.9869286579328065,0.39480752014324083,0.13299155609167673,0.9974808736449448,0.19896232799458605,0.8436386633832129,0.1588896895703199,441,676,267671,2875,1117,0.00411171193721633,0.13047242973662154
0.25,0.987558114281297,0.45949367088607596,0.1094692400482509,0.9984087766958453,0.1768144179249878,0.8436386633832129,0.1588896895703199,363,427,267920,2953,790,0.002908014709400986,0.10787801674409625
0.3,0.9878157864707376,0.5051369863013698,0.08896260554885405,0.9989230362180311,0.15128205128205127,0.8436386633832129,0.1588896895703199,295,289,268058,3021,584,0.0021497222661900958,0.08788564176688518
0.35,0.9879667087531243,0.5560859188544153,0.07026537997587455,0.9993068676005321,0.1247657295850067,0.8436386633832129,0.1588896895703199,233,186,268161,3083,419,0.0015423521053658392,0.06957224757640668
0.4,0.9879667087531243,0.5807560137457045,0.050965018094089265,0.9995453647702415,0.0937066814527308,0.8436386633832129,0.1588896895703199,169,122,268225,3147,291,0.001071180101817325,0.05051038286433074
0.45,0.9879740708156797,0.6118721461187214,0.040410132689987936,0.9996832459464797,0.07581329561527582,0.8436386633832129,0.1588896895703199,134,85,268262,3182,219,0.0008061458498212859,0.04009337863646767
0.5,0.9879483035967357,0.64,0.028950542822677925,0.9997987680130577,0.05539526832083092,0.8436386633832129,0.1588896895703199,96,54,268293,3220,150,0.000552154691658415,0.02874931083573551
0.55,0.9878746829711812,0.6145833333333334,0.01779252110977081,0.9998621188237617,0.03458382180539273,0.8436386633832129,0.1588896895703199,59,37,268310,3257,96,0.0003533790026613856,0.017654639933532668
0.6,0.9878525967835149,0.6379310344827587,0.011158021712907118,0.9999217431161891,0.021932424422050976,0.8436386633832129,0.1588896895703199,37,21,268326,3279,58,0.00021349981410792048,0.011079764829096117
0.65,0.9878084244081822,0.6428571428571429,0.0027141133896260556,0.9999813674086164,0.005405405405405406,0.8436386633832129,0.1588896895703199,9,5,268342,3307,14,5.1534437888118735e-05,0.0026954807982424445
0.7,0.9878084244081822,1.0,0.0012062726176115801,1.0,0.0024096385542168672,0.8436386633832129,0.1588896895703199,4,0,268347,3312,4,1.4724125110891067e-05,0.0012062726176116367
0.75,0.9878047433769045,1.0,0.0009047044632086852,1.0,0.0018077734257306419,0.8436386633832129,0.1588896895703199,3,0,268347,3313,3,1.10430938331683e-05,0.000904704463208672
0.8,0.987797381314349,1.0,0.00030156815440289503,1.0,0.0006029544769369911,0.8436386633832129,0.1588896895703199,1,0,268347,3315,1,3.6810312777227667e-06,0.0003015681544029647
0.85,0.9877937002830713,0.0,0.0,1.0,0.0,0.8436386633832129,0.1588896895703199,0,0,268347,3316,0,0.0,0.0
0.9,0.9877937002830713,0.0,0.0,1.0,0.0,0.8436386633832129,0.1588896895703199,0,0,268347,3316,0,0.0,0.0
0.95,0.9877937002830713,0.0,0.0,1.0,0.0,0.8436386633832129,0.1588896895703199,0,0,268347,3316,0,0.0,0.0
