threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
0.0398062673296274,0.94654406378491,0.07202871982890315,0.28437876960193004,0.9547265294562637,0.11494392979034619,0.8048446332268335,0.050779875558532514,943,12149,256198,2373,13092,0.04819206148794646,0.23910529905819367
0.05,0.965744322929512,0.08100167879127028,0.17460796139927623,0.9755205014402993,0.11066513761467889,0.8048446332268335,0.050779875558532514,579,6569,261778,2737,7148,0.026312011573162337,0.1501284628395756
0.1,0.9860636155825416,0.07885304659498207,0.013268998793727383,0.9980845696057716,0.022715539494062985,0.8048446332268335,0.050779875558532514,44,514,267833,3272,558,0.0020540154529693037,0.01135356839949897
0.15,0.9875544332500193,0.06666666666666667,0.0015078407720144752,0.9997391437206303,0.002948982601002654,0.8048446332268335,0.050779875558532514,5,70,268277,3311,75,0.0002760773458292075,0.0012469844926448204
0.2,0.9876869503760174,0.03225806451612903,0.00030156815440289503,0.9998882044516987,0.0005975500448162533,0.8048446332268335,0.050779875558532514,1,30,268317,3315,31,0.00011411196960940576,0.0001897726061015348
0.25,0.9877495279077386,0.0,0.0,0.9999552817806795,0.0,0.8048446332268335,0.050779875558532514,0,12,268335,3316,12,4.41723753326732e-05,-4.471821932050535e-05
0.3,0.9877863382205159,0.0,0.0,0.9999925469634465,0.0,0.8048446332268335,0.050779875558532514,0,2,268345,3316,2,7.362062555445533e-06,-7.453036553473069e-06
0.35,0.9877900192517935,0.0,0.0,0.9999962734817233,0.0,0.8048446332268335,0.050779875558532514,0,1,268346,3316,1,3.6810312777227667e-06,-3.7265182767365346e-06
0.4,0.9877900192517935,0.0,0.0,0.9999962734817233,0.0,0.8048446332268335,0.050779875558532514,0,1,268346,3316,1,3.6810312777227667e-06,-3.7265182767365346e-06
0.45,0.9877900192517935,0.0,0.0,0.9999962734817233,0.0,0.8048446332268335,0.050779875558532514,0,1,268346,3316,1,3.6810312777227667e-06,-3.7265182767365346e-06
0.5,0.9877900192517935,0.0,0.0,0.9999962734817233,0.0,0.8048446332268335,0.050779875558532514,0,1,268346,3316,1,3.6810312777227667e-06,-3.7265182767365346e-06
0.55,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.6,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.65,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.7,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.75,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.8,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.85,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.9,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
0.95,0.9877937002830713,0.0,0.0,1.0,0.0,0.8048446332268335,0.050779875558532514,0,0,268347,3316,0,0.0,0.0
