threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
0.05,0.4107810044061944,0.0191655265918614,0.9420989143546441,0.4042154374746131,0.03756681517824395,0.8284752127175523,0.14193553480006377,3124,159877,108470,192,163001,0.6000117793000888,0.3463143518292573
0.1,0.5793943231135635,0.024831898582380402,0.8742460796139928,0.5757508002698,0.04829211817326192,0.8284752127175523,0.14193553480006377,2899,113846,154501,417,116745,0.4297419965177444,0.4499968798837928
0.15,0.6775821514155406,0.03007795510053866,0.8133293124246079,0.675904705474628,0.05801060408891948,0.8284752127175523,0.14193553480006377,2697,86970,181377,619,89667,0.33006703157956735,0.48923401789923604
0.2,0.7418051041179697,0.03510407390917186,0.7608564535585042,0.7415696840285153,0.06711177315529075,0.8284752127175523,0.14193553480006377,2523,69349,198998,793,71872,0.2645630799924907,0.5024261375870194
0.25,0.7869308665515731,0.040039111890351836,0.7162243667068757,0.7878045962876425,0.07583861542637269,0.8284752127175523,0.14193553480006377,2375,56942,211405,941,59317,0.21834773230068136,0.5040289629945183
0.3,0.8209620007141201,0.04459405144694534,0.6691797346200241,0.8228375946069828,0.08361594694400482,0.8284752127175523,0.14193553480006377,2219,47541,220806,1097,49760,0.18316811637948488,0.4920173292270069
0.35,0.8482936579512116,0.048898940602309246,0.6194209891435465,0.8511218683272032,0.09064230709825467,0.8284752127175523,0.14193553480006377,2054,39951,228396,1262,42005,0.15462171882074482,0.47054285747074953
0.4,0.8722645336317423,0.053848122139140815,0.5711700844390832,0.8759851982694049,0.09841772974096494,0.8284752127175523,0.14193553480006377,1894,33279,235068,1422,35173,0.12947291313134288,0.44715528270848814
0.45,0.8932096016019848,0.059489113663637926,0.523220747889023,0.8977816036698752,0.10683168621655738,0.8284752127175523,0.14193553480006377,1735,27430,240917,1581,29165,0.1073572772147845,0.4210023515588981
0.5,0.9114233443641571,0.06616201748149388,0.47708082026537996,0.9167905733993672,0.11620817570793696,0.8284752127175523,0.14193553480006377,1582,22329,246018,1734,23911,0.08801713888162908,0.3938713936647471
0.55,0.9278444248940784,0.075,0.4333534378769602,0.9339549165818883,0.12786972770955685,0.8284752127175523,0.14193553480006377,1437,17723,250624,1879,19160,0.07052855928116822,0.36730835445884846
0.6,0.9421820417208085,0.08438988394713892,0.379372738238842,0.9491367520412004,0.1380672776161993,0.8284752127175523,0.14193553480006377,1258,13649,254698,2058,14907,0.05487313325701328,0.3285094902800423
0.65,0.9552901941007793,0.0989280523255814,0.3284077201447527,0.9630366652133245,0.152052499301871,0.8284752127175523,0.14193553480006377,1089,9919,258428,2227,11008,0.040520792305172214,0.29144438535807726
0.7,0.9664510809348347,0.119053876478318,0.2732207478890229,0.9750174214729436,0.1658429434376716,0.8284752127175523,0.14193553480006377,906,6704,261643,2410,7610,0.028012648023470255,0.2482381693619664
0.75,0.9760364863820248,0.15685431886549206,0.22014475271411338,0.9853771422821943,0.18318695106649938,0.8284752127175523,0.14193553480006377,730,3924,264423,2586,4654,0.017131519566521758,0.2055218949963078
0.8,0.9834942557506912,0.240905057675244,0.16375150784077203,0.9936239272285511,0.1949730700179533,0.8284752127175523,0.14193553480006377,543,1711,266636,2773,2254,0.008297044499987116,0.15737543506932306
0.8118959963090316,0.9847421253538391,0.27606699081577524,0.15410132689987938,0.9950064655092101,0.19779369072963035,0.8284752127175523,0.14193553480006377,511,1340,267007,2805,1851,0.0068135888950648415,0.14910779240908956
0.85,0.9870906233090263,0.4040201005025126,0.12123039806996382,0.9977901746619117,0.18649965205288796,0.8284752127175523,0.14193553480006377,402,593,267754,2914,995,0.003662626121334153,0.11902057273187538
0.9,0.9876832693447396,0.4785714285714286,0.10102533172496984,0.9986398208290013,0.16683266932270915,0.8284752127175523,0.14193553480006377,335,365,267982,2981,700,0.0025767218944059366,0.09966515255397113
0.95,0.9879851139095129,0.5553191489361702,0.0787092882991556,0.9992211576801678,0.13787638668779714,0.8284752127175523,0.14193553480006377,261,209,268138,3055,470,0.0017300847005297004,0.07793044597932353
