threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
0.05,0.04484232302521875,0.012584719479106016,0.997285886610374,0.033072849705791385,0.02485578458821098,0.8374382522327204,0.11873914784493883,3307,259472,8875,9,262779,0.9672977181287109,0.03035873631616548
0.1,0.11526045136805528,0.013480950563006203,0.9903498190591074,0.10444685425959671,0.026599816134035857,0.8374382522327204,0.11873914784493883,3284,240319,28028,32,243603,0.8967102623470992,0.094796673318704
0.15,0.20046528235350417,0.01475552651638898,0.9806996381182147,0.19082382139543203,0.029073613818012767,0.8374382522327204,0.11873914784493883,3252,217140,51207,64,220392,0.811269845359876,0.17152345951364678
0.2,0.29257940904723867,0.016442550925309544,0.968335343787696,0.2842290020011403,0.032336028841602804,0.8374382522327204,0.11873914784493883,3211,192075,76272,105,195286,0.7188538741013683,0.25256434578883624
0.25,0.37919039398077764,0.018414629173293253,0.9532569360675512,0.3720965764476592,0.03613128882741908,0.8374382522327204,0.11873914784493883,3161,168496,99851,155,171657,0.631874786040057,0.3253535125152105
0.3,0.45474356095603746,0.02050303969483848,0.9336550060313631,0.4488255877650952,0.04012493681877681,0.8374382522327204,0.11873914784493883,3096,147906,120441,220,151002,0.5558430849986933,0.3824805937964584
0.35,0.5230266911577948,0.02293508652610897,0.9152593486127865,0.5181798194129243,0.04474883151733188,0.8374382522327204,0.11873914784493883,3035,129295,139052,281,132330,0.4871108689810537,0.4334391680257108
0.4,0.5862594464465165,0.02553239613055884,0.885102533172497,0.5825666021979005,0.0496330368316028,0.8374382522327204,0.11873914784493883,2935,112017,156330,381,114952,0.4231419074367875,0.46766913537039745
0.45,0.6431240176247778,0.028577182559661664,0.8558504221954162,0.6404953288093401,0.05530762185021339,0.8374382522327204,0.11873914784493883,2838,96472,171875,478,99310,0.36556321619064797,0.4963457510047564
0.5,0.6921774404317114,0.03196102200671391,0.8268998793727382,0.6905126571193269,0.061543295775912374,0.8374382522327204,0.11873914784493883,2742,83050,185297,574,85792,0.3158030353783916,0.5174125364920652
0.55,0.7357019542595054,0.035563151041666664,0.7907117008443908,0.7350221914163378,0.06806500181714345,0.8374382522327204,0.11873914784493883,2622,71106,197241,694,73728,0.27139507404394414,0.5257338922607286
0.6,0.7740104467667662,0.039663290055642744,0.7545235223160435,0.7742512493152522,0.07536485082157326,0.8374382522327204,0.11873914784493883,2502,60579,207768,814,63081,0.23220313403002985,0.5287747716312956
0.65,0.8121790600854736,0.04456239499007179,0.7038600723763571,0.8135175723969338,0.08381814264167205,0.8374382522327204,0.11873914784493883,2334,50042,218305,982,52376,0.19279769420200762,0.517377644773291
0.7,0.8494163724909171,0.050700387244824785,0.6396260554885405,0.8520087796770599,0.09395348837209302,0.8374382522327204,0.11873914784493883,2121,39713,228634,1195,41834,0.15399226247225423,0.49163483516560036
0.75,0.8926537658790487,0.060561751904243746,0.5370928829915561,0.8970474795693636,0.10884977386627552,0.8374382522327204,0.11873914784493883,1781,27627,240720,1535,29408,0.10825176781527113,0.4341403625609197
0.8,0.9423292829719174,0.08639742816958007,0.38902291917973464,0.9491665641874141,0.14139310571600813,0.8374382522327204,0.11873914784493883,1290,13641,254706,2026,14931,0.05496147800767863,0.3381894833671488
0.85,0.9707652495923258,0.137801440651425,0.26537997587454765,0.9794817903684409,0.18140589569160998,0.8374382522327204,0.11873914784493883,880,5506,262841,2436,6386,0.023507065739537588,0.2448617662429884
0.8789605498313904,0.9805420686659575,0.20561864913329347,0.2074788902291918,0.9900949144205078,0.2065445812068448,0.8374382522327204,0.11873914784493883,688,2658,265689,2628,3346,0.012316730655260377,0.19757380464969954
0.9,0.9845764789463416,0.24384525205158264,0.12545235223160434,0.9951927914230455,0.16567104739147748,0.8374382522327204,0.11873914784493883,416,1290,267057,2900,1706,0.00627983935979504,0.12064514365464984
0.95,0.9876575021257956,0.42570281124497994,0.031966224366706875,0.9994671078864307,0.05946704067321178,0.8374382522327204,0.11873914784493883,106,143,268204,3210,249,0.0009165767881529689,0.03143333225313749
