model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
ElasticNet,0.005,0.5676649851118151,0.014776062268725278,0.8678057553956835,0.5654107187282247,0.02905736697095769,0.8077306483244295,0.03458897835211187,5790,386060,502273,882,391850,0.43781878313528977,0.4332164741239082
ElasticNet,0.01,0.7851777364372267,0.022693255288834938,0.6612709832134293,0.7861083625172092,0.04388063115703835,0.8077306483244295,0.03458897835211187,4412,190007,698326,2260,194419,0.21722671940380223,0.44737934573063853
ElasticNet,0.015,0.8773403500539103,0.03000246145991923,0.4932553956834532,0.8802250957692667,0.05656437183640848,0.8077306483244295,0.03458897835211187,3291,106400,781933,3381,109691,0.1225590918486489,0.3734804914527199
ElasticNet,0.02,0.920825023323892,0.035837214010933385,0.37140287769784175,0.9249515665859537,0.06536706323036746,0.8077306483244295,0.03458897835211187,2478,66668,821665,4194,69146,0.0772576689515701,0.29635444428379554
ElasticNet,0.025,0.9443947240518209,0.04194213558385238,0.2957134292565947,0.9492667727079822,0.07346452441680784,0.8077306483244295,0.03458897835211187,1973,45068,843265,4699,47041,0.05255948290791672,0.24498020196457704
ElasticNet,0.03,0.9590728543415958,0.049774571686203785,0.24820143884892087,0.9644119941508421,0.08292023433979269,0.8077306483244295,0.03458897835211187,1656,31614,856719,5016,33270,0.037172976687281076,0.21261343299976287
ElasticNet,0.035,0.968754364500757,0.05608139098528124,0.20158872901678657,0.9745163131393295,0.08775077475126407,0.8077306483244295,0.03458897835211187,1345,22638,865695,5327,23983,0.026796498343584673,0.1761050421561161
ElasticNet,0.04,0.9754414779805699,0.061425624570249825,0.1606714628297362,0.981560968690795,0.08887415022384347,0.8077306483244295,0.03458897835211187,1072,16380,871953,5600,17452,0.01949933240596421,0.14223243152053122
ElasticNet,0.045,0.9800291618482578,0.0654096834264432,0.12634892086330934,0.9864408954750077,0.08619631901840488,0.8077306483244295,0.03458897835211187,843,12045,876288,5829,12888,0.014399919553522047,0.11278981633831697
ElasticNet,0.05,0.98333752325406,0.06912056885914462,0.09907074340527577,0.9899789831065603,0.08142901139513396,0.8077306483244295,0.03458897835211187,661,8902,879431,6011,9563,0.010684856509181512,0.08904972651183618
ElasticNet,0.055,0.9856492421830045,0.07055385471750626,0.07598920863309352,0.9924814230699524,0.07317073170731707,0.8077306483244295,0.03458897835211187,507,6679,881654,6165,7186,0.0080290054245507,0.0684706317030459
ElasticNet,0.06,0.9872637583030263,0.06878306878306878,0.05650479616306955,0.9942544068496836,0.062042294083765326,0.8077306483244295,0.03458897835211187,377,5104,883229,6295,5481,0.006123988134144502,0.05075920301275305
ElasticNet,0.065,0.9884860978430288,0.06636428741943184,0.041666666666666664,0.9955973717063309,0.0511923395635761,0.8077306483244295,0.03458897835211187,278,3911,884422,6394,4189,0.00468042077977218,0.03726403837299763
ElasticNet,0.07,0.9893978245931587,0.06701506301875192,0.03267386091127098,0.9965834883990575,0.04392947103274558,0.8077306483244295,0.03458897835211187,218,3035,885298,6454,3253,0.0036346165663878973,0.02925734931032853
ElasticNet,0.075,0.9900782677191747,0.06501182033096926,0.02473021582733813,0.9973287044385383,0.035830618892508145,0.8077306483244295,0.03458897835211187,165,2373,885960,6507,2538,0.002835738347830459,0.022058920265876303
ElasticNet,0.08,0.9905989352014793,0.061871227364185113,0.01843525179856115,0.9979005620640008,0.028406466512702077,0.8077306483244295,0.03458897835211187,123,1865,886468,6549,1988,0.002221216641247814,0.016335813862562
ElasticNet,0.085,0.9910212792107307,0.06615776081424936,0.015587529976019185,0.9983474665468918,0.025230470645317808,0.8077306483244295,0.03458897835211187,104,1468,886865,6568,1572,0.0017564147686325775,0.01393499652291097
ElasticNet,0.09,0.9913296573762158,0.07097791798107256,0.013489208633093525,0.9986739207031597,0.022670025188916875,0.8077306483244295,0.03458897835211187,90,1178,887155,6582,1268,0.0014167518617214428,0.012163129336253187
ElasticNet,0.095,0.9915374774442601,0.06467181467181467,0.010041966426858513,0.9989091928364701,0.01738453554748313,0.8077306483244295,0.03458897835211187,67,969,887364,6605,1036,0.0011575354327629454,0.008951159263328679
ElasticNet,0.1,0.9917195993318473,0.06580493537015276,0.008393285371702638,0.9991050653302309,0.014887677788116442,0.8077306483244295,0.03458897835211187,56,795,887538,6616,851,0.0009508326769124194,0.007498350701933498
ElasticNet,0.105,0.9918659672292334,0.07303370786516854,0.0077937649880095924,0.9992570353684935,0.014084507042253523,0.8077306483244295,0.03458897835211187,52,660,887673,6620,712,0.0007955262819760783,0.007050800356503073
ElasticNet,0.11,0.9919508829559611,0.06393442622950819,0.005845323741007194,0.9993572230233482,0.010711343037627025,0.8077306483244295,0.03458897835211187,39,571,887762,6633,610,0.0006815604382098424,0.005202546764355276
ElasticNet,0.115,0.9920447371802392,0.0625,0.004796163069544364,0.9994596620861771,0.008908685968819599,0.8077306483244295,0.03458897835211187,32,480,887853,6640,512,0.000572063843218753,0.004255825155721427
ElasticNet,0.12,0.9921184797850291,0.0639269406392694,0.004196642685851319,0.9995384613652764,0.007876230661040788,0.8077306483244295,0.03458897835211187,28,410,887923,6644,438,0.0004893827408785426,0.003735104051127758
ElasticNet,0.125,0.9921888704532377,0.07238605898123325,0.0040467625899280575,0.9996105064204527,0.007665010645848118,0.8077306483244295,0.03458897835211187,27,346,887987,6645,373,0.0004167574482824118,0.0036572690103806593
ElasticNet,0.13,0.9922425014385394,0.061488673139158574,0.0028477218225419665,0.999673545843732,0.00544334622546913,0.8077306483244295,0.03458897835211187,19,290,888043,6653,309,0.0003452494678800677,0.0025212676662740297
ElasticNet,0.135,0.9922927804872599,0.05859375,0.0022482014388489208,0.9997287053391014,0.0043302540415704385,0.8077306483244295,0.03458897835211187,15,241,888092,6657,256,0.0002860319216093765,0.0019769067779502603
ElasticNet,0.14,0.9923330037262361,0.06422018348623854,0.0020983213429256594,0.9997703563866253,0.0040638606676342524,0.8077306483244295,0.03458897835211187,14,204,888129,6658,218,0.00024357405824548467,0.001868677729550905
ElasticNet,0.145,0.9923587019066933,0.06282722513089005,0.0017985611510791368,0.9997984989863036,0.0034970129680897567,0.8077306483244295,0.03458897835211187,12,179,888154,6660,191,0.00021340662901324573,0.0015970601373826998
ElasticNet,0.15,0.9923866347115379,0.06172839506172839,0.001498800959232614,0.999828892993956,0.0029265437518290896,0.8077306483244295,0.03458897835211187,10,152,888181,6662,162,0.00018100457539343355,0.0013276939531887688
ElasticNet,0.155,0.992396690521282,0.059602649006622516,0.0013489208633093526,0.9998401500338274,0.002638135717426352,0.8077306483244295,0.03458897835211187,9,142,888191,6663,151,0.00016871414126178066,0.0011890708971367125
ElasticNet,0.16,0.9924100982676074,0.06474820143884892,0.0013489208633093526,0.999853658481673,0.002642783732197915,0.8077306483244295,0.03458897835211187,9,130,888203,6663,139,0.00015530639493634114,0.0012025793449823574
ElasticNet,0.165,0.992422388701739,0.0703125,0.0013489208633093526,0.9998660412255315,0.0026470588235294116,0.8077306483244295,0.03458897835211187,9,119,888214,6663,128,0.00014301596080468825,0.0012149620888408652
ElasticNet,0.17,0.9924257406383205,0.06504065040650407,0.001199040767386091,0.9998705440414799,0.0023546725533480496,0.8077306483244295,0.03458897835211187,8,115,888218,6664,123,0.0001374293998357551,0.0010695848088659865
ElasticNet,0.175,0.9924324445114832,0.06086956521739131,0.0010491606714628297,0.9998784239693899,0.002062767054663327,0.8077306483244295,0.03458897835211187,7,108,888225,6665,115,0.0001284909022854621,0.0009275846408527411
ElasticNet,0.18,0.9924380310724521,0.038461538461538464,0.0005995203836930455,0.999887429601287,0.0011806375442739076,0.8077306483244295,0.03458897835211187,4,100,888233,6668,104,0.0001162004681538092,0.00048694998498000075
ElasticNet,0.185,0.9924425003212273,0.04,0.0005995203836930455,0.9998919324172354,0.0011813349084465444,0.8077306483244295,0.03458897835211187,4,96,888237,6668,100,0.00011173121937866269,0.000491452800928549
ElasticNet,0.19,0.9924514388187775,0.043478260869565216,0.0005995203836930455,0.9999009380491325,0.0011827321111768183,0.8077306483244295,0.03458897835211187,4,88,888245,6668,92,0.00010279272182836967,0.0005004584328256456
ElasticNet,0.195,0.9924570253797464,0.03529411764705882,0.0004496402877697842,0.9999076922730553,0.0008879680331508067,0.8077306483244295,0.03458897835211187,3,82,888251,6669,85,9.497153647186328e-05,0.00035733256082504106
ElasticNet,0.2,0.9924659638772968,0.03896103896103896,0.0004496402877697842,0.9999166979049523,0.0008890205956437992,0.8077306483244295,0.03458897835211187,3,74,888259,6669,77,8.603303892157027e-05,0.00036633819272213763
ElasticNet,0.205,0.9924693158138781,0.04054054054054054,0.0004496402877697842,0.9999200750169137,0.0008894159501927069,0.8077306483244295,0.03458897835211187,3,71,888262,6669,74,8.268110234021039e-05,0.00036971530468354885
ElasticNet,0.21,0.9924760196870408,0.04411764705882353,0.0004496402877697842,0.9999268292408365,0.0008902077151335312,0.8077306483244295,0.03458897835211187,3,65,888268,6669,68,7.597722917749063e-05,0.0003764695286063713
ElasticNet,0.215,0.9924816062480097,0.047619047619047616,0.0004496402877697842,0.9999324577607721,0.00089086859688196,0.8077306483244295,0.03458897835211187,3,60,888273,6669,63,7.039066820855749e-05,0.0003820980485418346
ElasticNet,0.22,0.9924849581845911,0.05,0.0004496402877697842,0.9999358348727335,0.0008912655971479503,0.8077306483244295,0.03458897835211187,3,57,888276,6669,60,6.703873162719762e-05,0.0003854751605032458
ElasticNet,0.225,0.9924894274333663,0.05357142857142857,0.0004496402877697842,0.9999403376886821,0.0008917954815695601,0.8077306483244295,0.03458897835211187,3,53,888280,6669,56,6.256948285205111e-05,0.0003899779764517941
