model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
XGBoost weighted,0.005,0.034433327188116265,0.007661400984545145,1.0,0.027181248473263968,0.015206300404202247,0.8438828681643706,0.0751959398409417,6672,864187,24146,0,870859,0.9730213797688281,0.027181248473263864
XGBoost weighted,0.01,0.055209747431578596,0.0078262502053364,0.9997002398081535,0.04811596552193828,0.015530915136471805,0.8438828681643706,0.0751959398409417,6670,845590,42743,2,852260,0.9522404902765906,0.04781620533009168
XGBoost weighted,0.015,0.07109457489064307,0.007951973137031923,0.9988009592326139,0.06412685333090182,0.015778326820195972,0.8438828681643706,0.0751959398409417,6664,831367,56966,8,838031,0.9363422550712007,0.06292781256351576
XGBoost weighted,0.02,0.08544309808325093,0.008070956553774263,0.9982014388489209,0.07858764674958603,0.01601244450642121,0.8438828681643706,0.0751959398409417,6660,818521,69812,12,825181,0.9219847933810426,0.07678908559850695
XGBoost weighted,0.025,0.09882291160384579,0.008182549305577758,0.9973021582733813,0.09207470621940196,0.016231920826086214,0.8438828681643706,0.0751959398409417,6654,806540,81793,18,813194,0.9085915721141222,0.08937686449278326
XGBoost weighted,0.03,0.11182842553952213,0.008295240186440171,0.996552757793765,0.10518352914954189,0.016453522325714908,0.8438828681643706,0.0751959398409417,6649,794895,93438,23,801544,0.8955748850565081,0.10173628694330694
XGBoost weighted,0.035,0.12406522868587326,0.008400204407925362,0.9953537170263789,0.11752124484849713,0.016659809745524605,0.8438828681643706,0.0751959398409417,6641,783935,104398,31,790576,0.8833202049150564,0.11287496187487589
XGBoost weighted,0.04,0.135984715169189,0.00851132578195722,0.9949040767386091,0.12953363209517152,0.016878259388182163,0.8438828681643706,0.0751959398409417,6638,773264,115069,34,779902,0.8713940145585779,0.12443770883378069
XGBoost weighted,0.045,0.14923827241188597,0.008635101845245225,0.9940047961630696,0.14289348701444166,0.017121466374080286,0.8438828681643706,0.0751959398409417,6632,761396,126937,40,768028,0.8581270495695554,0.13689828317751118
XGBoost weighted,0.05,0.16304825112708868,0.008764639714153378,0.9926558752997602,0.1568173196312644,0.017375859544916716,0.8438828681643706,0.0751959398409417,6623,749027,139306,49,755650,0.8442969592348646,0.14947319493102462
